timestamp,minute_index,hour_of_day,minute_of_hour,txn_count,fraud_count,suspicious_count,normal_count,avg_risk,max_velocity,total_amount,anomaly,spike_type,alert_level,running_txn_total,running_fraud_total,fraud_rate_pct,human_readable_spike
2026-05-18T15:08:00Z,0,15,8,13,2,0,11,0.1851,5,32583.24,False,none,LOW,13,2,15.38,
2026-05-18T15:09:00Z,1,15,9,11,0,1,10,0.2774,4,13699.36,False,none,LOW,24,2,8.33,
2026-05-18T15:10:00Z,2,15,10,13,0,2,11,0.1611,1,8252.55,False,none,LOW,37,2,5.41,
2026-05-18T15:11:00Z,3,15,11,6,1,0,5,0.2997,5,28557.22,False,none,LOW,43,3,6.98,
2026-05-18T15:12:00Z,4,15,12,9,0,1,8,0.2615,3,17144.22,False,none,LOW,52,3,5.77,
2026-05-18T15:13:00Z,5,15,13,11,0,1,10,0.2161,8,20453.84,False,none,LOW,63,3,4.76,
2026-05-18T15:14:00Z,6,15,14,8,1,0,7,0.1344,9,23843.24,False,none,LOW,71,4,5.63,
2026-05-18T15:15:00Z,7,15,15,10,0,0,10,0.077,3,25837.86,False,none,LOW,81,4,4.94,
2026-05-18T15:16:00Z,8,15,16,10,0,0,10,0.1405,7,13939.82,False,none,LOW,91,4,4.4,
2026-05-18T15:17:00Z,9,15,17,5,0,2,3,0.1848,6,10983.97,False,none,LOW,96,4,4.17,
2026-05-18T15:18:00Z,10,15,18,10,1,1,8,0.2382,2,23444.94,False,none,LOW,106,5,4.72,
2026-05-18T15:19:00Z,11,15,19,5,0,0,5,0.2263,6,7629.57,False,none,LOW,111,5,4.5,
2026-05-18T15:20:00Z,12,15,20,16,1,1,14,0.196,7,32948.27,False,none,LOW,127,6,4.72,
2026-05-18T15:21:00Z,13,15,21,11,0,0,11,0.2979,5,31573.31,False,none,LOW,138,6,4.35,
2026-05-18T15:22:00Z,14,15,22,6,0,1,5,0.0823,6,9597.06,False,none,LOW,144,6,4.17,
2026-05-18T15:23:00Z,15,15,23,9,0,0,9,0.1268,9,32889.44,False,none,LOW,153,6,3.92,
2026-05-18T15:24:00Z,16,15,24,6,1,1,4,0.1448,1,23834.82,False,none,LOW,159,7,4.4,
2026-05-18T15:25:00Z,17,15,25,9,0,0,9,0.2993,7,7058.38,False,none,LOW,168,7,4.17,
2026-05-18T15:26:00Z,18,15,26,6,2,0,4,0.0542,2,6350.13,False,none,LOW,174,9,5.17,
2026-05-18T15:27:00Z,19,15,27,12,0,1,11,0.2717,3,6324.91,False,none,LOW,186,9,4.84,
2026-05-18T15:28:00Z,20,15,28,6,0,1,5,0.3274,5,20321.54,False,none,LOW,192,9,4.69,
2026-05-18T15:29:00Z,21,15,29,11,0,2,9,0.2854,1,2588.61,False,none,LOW,203,9,4.43,
2026-05-18T15:30:00Z,22,15,30,13,0,0,13,0.1623,9,23513.72,False,none,LOW,216,9,4.17,
2026-05-18T15:31:00Z,23,15,31,14,1,0,13,0.2283,4,6823.72,False,none,LOW,230,10,4.35,
2026-05-18T15:32:00Z,24,15,32,13,0,0,13,0.0846,5,3828.05,False,none,LOW,243,10,4.12,
2026-05-18T15:33:00Z,25,15,33,6,0,0,6,0.3125,1,30087.34,False,none,LOW,249,10,4.02,
2026-05-18T15:34:00Z,26,15,34,7,0,0,7,0.0805,1,3714.74,False,none,LOW,256,10,3.91,
2026-05-18T15:35:00Z,27,15,35,16,1,1,14,0.0904,8,19690.25,False,none,LOW,272,11,4.04,
2026-05-18T15:36:00Z,28,15,36,10,0,0,10,0.1934,2,9674.81,False,none,LOW,282,11,3.9,
