event_id,timestamp,label,amount,merchant_category,risk_score,velocity_1h,device_type,device_fingerprint,ip_hash,region,card_type,issuing_bank,account_age_days,is_new_device,failed_auth_attempts,session_duration_sec,is_international,distance_from_home_km,chargeback_risk_band,flagged_for_review
EVT-10251,2026-05-18T15:09:19Z,normal,248.07,ATM,0.003,6,unknown,FP-18292,ip-696967,Northeast,Mastercard,Capital One,1555,False,1,567,False,118.0,LOW,False
EVT-10315,2026-05-18T15:12:19Z,normal,313.96,ATM,0.3478,4,tablet,FP-74534,ip-398411,Midwest,Mastercard,Bank of America,104,False,1,260,False,57.4,LOW,False
EVT-10910,2026-05-18T15:14:19Z,normal,4999.0,E-Commerce,0.0738,5,tablet,FP-10662,ip-932607,Northwest,Discover,Citibank,1437,False,1,524,False,78.0,LOW,False
EVT-10698,2026-05-18T15:17:19Z,normal,795.32,POS Retail,0.3174,2,unknown,FP-59912,ip-185225,West,Mastercard,PNC Bank,2418,False,0,522,False,198.3,LOW,False
EVT-10256,2026-05-18T15:19:19Z,normal,339.5,Wire Transfer,0.2295,3,mobile,FP-27517,ip-671347,Southeast,Visa,PNC Bank,1890,False,0,606,False,186.1,LOW,False
EVT-10833,2026-05-18T15:20:19Z,normal,404.87,Subscription,0.1572,4,desktop,FP-21530,ip-693479,Northwest,Mastercard,TD Bank,1395,False,1,77,False,157.3,LOW,False
EVT-10104,2026-05-18T15:22:19Z,normal,1167.08,Wire Transfer,0.2607,7,unknown,FP-74534,ip-772064,Northeast,Mastercard,Bank of America,1993,False,0,420,False,7.2,LOW,False
EVT-10370,2026-05-18T15:24:19Z,normal,46.6,Crypto Exchange,0.0078,5,desktop,FP-70282,ip-861077,Northwest,Discover,Wells Fargo,3634,False,1,446,False,141.4,LOW,False
EVT-10349,2026-05-18T15:24:19Z,normal,84.87,Crypto Exchange,0.3788,2,tablet,FP-43371,ip-186751,Southeast,Visa,Capital One,3615,False,0,344,False,25.9,MEDIUM,False
EVT-10106,2026-05-18T15:24:19Z,fraudulent,26847.83,E-Commerce,0.8446,33,mobile,FP-80745,ip-339282,Southeast,Visa,US Bank,25,True,2,58,False,141.6,VERY_HIGH,True
EVT-10554,2026-05-18T15:26:19Z,normal,342.23,E-Commerce,0.1367,3,mobile,FP-80053,ip-568604,Northwest,Visa,Chase,505,False,1,265,False,107.0,LOW,False
EVT-10199,2026-05-18T15:27:19Z,normal,736.27,E-Commerce,0.018,2,desktop,FP-15247,ip-870951,Southwest,Discover,Wells Fargo,2087,False,0,773,False,151.2,LOW,False
EVT-10578,2026-05-18T15:30:19Z,normal,571.64,E-Commerce,0.2504,2,desktop,FP-66849,ip-226201,Northeast,Discover,Citibank,643,False,0,564,False,158.6,LOW,False
EVT-10853,2026-05-18T15:30:19Z,normal,1853.51,Subscription,0.0452,3,tablet,FP-29312,ip-622954,Northeast,Visa,Citibank,2703,False,1,389,False,142.9,LOW,False
EVT-10488,2026-05-18T15:33:19Z,normal,998.97,Subscription,0.1414,7,desktop,FP-96569,ip-992243,Northeast,Visa,Bank of America,2389,False,1,719,False,186.5,LOW,False
